Country Name,Country Code,Population growth (annual %),Urban population growth (annual %),Access to electricity (% of population),Poverty headcount ratio at national poverty lines (% of population),Adolescents out of school (% of lower secondary school age),"Adolescents out of school, female (% of female lower secondary school age)","Adolescents out of school, male (% of male lower secondary school age)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)",GDP growth (annual %),"Government expenditure on education, total (% of GDP)",Imports of goods and services (% of GDP),Gross savings (% of GDP),Exports of goods and services (% of GDP),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)",CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from gaseous fuel consumption (% of total),Renewable energy consumption (% of total final energy consumption)
Afghanistan,AFG,3.077053629,3.951725628,71.5,,,,,206.746,248.724,39.39098063,16.38996468,44.21905272,1.45131466,3.255800009,,,,,,59.34206508,3.533904881,20.2737999
Angola,AGO,3.438869368,4.572209332,42,,,,,206.219,279.712,61.57538226,8.486175792,29.9384423,0.943571561,3.486900091,33.13392129,25.02132654,29.75459949,,,48.58044937,4.098779863,47.81560135
Albania,ALB,-0.291205787,1.484764333,99.98,,3.058409929,2.346669912,3.699500084,51.195,99.215,2.95538162,4.1268147,92.91780583,2.218726372,3.437969923,44.53361519,16.8639814,27.26739115,,,65.89027613,1.229566075,38.62559891
Andorra,AND,-1.552134769,-1.660947798,100,,,,,,,,,,1.434140395,3.28034997,,,,,,99.08702128,,19.27770042
United Arab Emirates,ARE,0.527292388,0.876904733,100,,,,,56.639,80.514,7.026442386,21.33353397,71.64002371,5.060334864,,74.35082733,,100.8704802,,,21.65540765,69.19563234,0.126399994
Argentina,ARG,1.078001344,1.215797063,99.81168365,,0.383439988,,,82.139,152.24,15.4917818,6.212450527,78.2957693,2.731159828,5.776110172,11.78057404,14.28730262,10.70565205,99.20877075,99.14824677,49.23620936,52.85611317,9.393199921
Armenia,ARM,0.450705992,0.407909537,100,,,,,75.161,175.814,4.808441555,4.417689703,90.77386831,3.199999999,2.80591011,41.95668313,18.43038559,29.72539121,,,15.38217228,70.66185393,10.7468996
Antigua and Barbuda,ATG,1.084181616,0.389763851,100,,1.299700022,28.87552071,29.40642929,106.995,153.01,11.28599805,5.208894895,83.50510572,3.825293099,,63.75049528,7.051264504,76.03620877,99.41999817,98.40000153,111.5067347,,0.482199997
Australia,AUS,1.439216653,1.554800599,100,,0.169729993,,,45.201,78.264,4.569557428,5.857024958,89.57341931,2.172204753,5.311270237,21.55633878,22.70271367,20.0692826,,,31.16711041,19.63171955,9.315500259
Austria,AUT,1.120992502,1.44900148,100,14.1,1.970000029,2.156169891,1.792299986,44.687,84.688,2.673679917,5.377562845,91.9487577,1.014501586,5.456580162,49.33825483,25.65294431,53.08906056,,,48.93978781,24.94024545,34.87720108
Azerbaijan,AZE,1.191209858,1.726309145,100,,9.793910027,10.93690014,8.792819977,89.019,160.775,7.430662708,4.373241295,88.19609474,1.093975846,2.951679945,34.80673042,28.12191969,37.79477749,99.7171402,99.86263275,36.08866024,68.23332919,2.312200069
Burundi,BDI,3.156907954,5.689111107,8.403089523,,,,,265.208,323.166,54.48430231,11.92503456,33.59066288,-3.900003086,6.370540142,26.80898555,11.22352302,5.732968591,,,84.96707317,,91.16819763
Belgium,BEL,0.579446242,0.623385919,100,,2.416069984,2.616760015,2.224050045,53.933,89.305,7.897589858,6.200559516,85.90185369,2.041459009,6.451570034,76.38726436,25.00809394,77.80528215,,,55.3401145,33.60389496,9.376099586
Benin,BEN,2.771837886,3.936264016,29.62,40.1,50.9525795,55.52968979,46.49365997,219.592,266.315,54.11829918,8.994440258,36.88725879,1.77815106,3.17298007,32.03586197,13.86203006,24.72045121,,,84.48180301,,49.94319916
Burkina Faso,BFA,2.939350568,5.128048982,16.07070351,,41.97937012,41.8619194,42.09244919,242.487,273.429,57.7732902,9.925487759,32.3012217,3.921228794,3.67008996,32.98153577,11.85934408,26.10764554,,,94.04776471,,72.71399689
Bangladesh,BGD,1.119091033,3.39798061,74.44007874,,36.92203903,30.57242012,43.0138588,109.465,150.041,28.80766308,7.488485298,63.70385148,6.552639879,,24.74932252,36.73376986,17.33667379,62.25299072,68.05535889,20.50635096,68.04589343,34.21630096
Bulgaria,BGR,-0.638069468,-0.178845947,100,22.9,2.817280054,3.467159986,2.20539999,86.607,185.528,2.123462285,2.708720282,95.16781853,3.428054914,,62.90085503,22.19285141,63.8000874,,,26.47066905,13.30097785,17.81990051
Bahrain,BHR,2.642766637,2.737183233,100,,2.412610054,3.649569988,1.223819971,58.897,74.471,5.61154046,9.96066556,84.42779391,2.485378558,2.674540043,71.82416506,23.59933328,83.10720991,,,13.0142549,92.35806863,
Bosnia and Herzegovina,BIH,-1.526304511,-0.817857327,99.7,16.9,17.38826942,17.67987061,17.11034966,64.788,127.346,1.931847869,4.198070087,93.87008008,3.089164152,,53.80931782,11.00677569,35.53234392,,,21.71028557,2.075660377,25.27540016
Belarus,BLR,0.132853237,0.767134236,100,5.1,0.074450001,,,82.36,245.384,1.814757191,6.403379469,91.78186409,-3.829570558,4.787519932,57.90405963,28.9087752,58.01076657,,,30.55721989,66.07147021,6.823999882
Belize,BLZ,2.116860418,2.273610649,91.8,,11.18836975,11.92982006,10.4538002,128.639,220.346,19.46783368,18.85720109,61.67496415,2.637862422,6.870150089,66.34212652,13.1532771,58.8871706,,,87.23015152,0.555606061,32.72639847
Bolivia,BOL,1.512942433,2.020123589,91.522822,,10.76599026,10.87932014,10.65723991,152.314,216.726,20.86721532,8.878784227,70.25400131,4.857187232,,37.06454907,14.21692552,30.8682959,88.58286285,96.52275085,49.60601176,38.55650171,8.198599815
