Country Code,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22
AFG,1.92,-0.81,-1.51,0.09,-0.33,0.21,0.89,0.16,0.78,-0.33,-1.30,1.39,-0.52,-0.13,-0.02,-0.02,-0.30,0.05,0.19,0.03,0.05,0.00
AGO,3.11,-1.41,-1.07,-0.43,0.26,0.06,-0.63,-0.46,1.39,0.74,-1.40,0.37,-0.38,-0.62,-0.12,-0.01,-0.33,0.02,-0.32,0.10,-0.05,0.00
ALB,-2.45,-0.39,1.66,-0.60,0.22,-0.96,0.57,-0.84,0.71,0.22,-0.61,-0.05,0.32,0.27,0.73,0.17,0.01,-0.57,0.19,-0.03,0.04,0.00
AND,-1.17,0.15,2.14,-0.54,-1.42,-0.12,0.31,-0.08,-1.59,-1.37,-0.61,-0.31,-0.44,-0.55,-0.34,0.44,-0.14,-0.07,0.07,-0.09,-0.08,0.00
ARE,-1.91,1.70,-1.58,1.59,-0.35,1.89,1.11,0.32,-1.28,-1.23,0.47,1.53,1.15,-1.39,-0.29,0.07,0.03,-0.10,0.26,-0.10,0.11,0.00
ARG,-1.90,-2.06,0.18,1.36,-0.20,-0.14,-0.40,0.17,-0.48,0.72,1.46,-0.60,-0.50,-0.31,-0.55,-0.16,-0.32,-0.02,-0.14,0.02,0.08,0.00
ARM,-1.92,0.28,1.42,1.96,0.26,1.46,-0.81,-1.12,-0.62,0.28,0.38,-0.02,-0.27,0.13,0.38,-0.08,-0.11,0.17,-0.13,0.04,-0.07,0.00
ATG,-1.60,0.49,0.16,0.28,-3.09,-1.12,0.44,-0.08,-0.17,0.46,1.36,-0.59,-0.81,0.19,-1.09,-0.68,-0.36,0.06,0.13,0.20,0.01,0.00
AUS,-2.09,-0.39,0.82,1.01,1.25,-0.44,0.14,0.57,0.55,0.98,0.05,0.15,-0.20,-0.15,-0.29,-0.52,-0.37,0.14,0.16,0.00,0.05,0.00
AUT,-2.86,0.10,0.14,-0.42,0.78,0.10,-0.23,0.26,1.17,-0.03,-0.23,-0.56,0.64,0.13,0.10,0.16,0.25,0.11,0.04,0.00,0.01,0.00
AZE,-2.46,-1.06,-0.42,1.98,-0.61,0.79,-1.08,-0.95,-0.68,0.74,-0.37,-0.90,-0.52,0.25,0.23,0.04,0.40,-0.07,0.01,-0.04,0.15,0.00
BDI,4.46,-2.72,-1.01,-1.25,0.23,0.76,0.33,0.60,1.36,0.18,0.60,-1.23,0.85,-0.04,0.30,-0.57,0.08,-0.49,-0.02,0.00,0.09,0.00
BEL,-3.06,1.08,-0.33,-1.10,0.20,0.61,0.34,0.30,-0.01,0.46,0.24,-0.48,0.11,-0.60,0.04,0.23,0.23,0.14,0.05,0.01,0.07,0.00
BEN,5.75,0.36,0.60,1.92,-1.43,-0.89,0.68,-0.06,-1.31,2.13,0.13,-0.26,-0.17,-0.40,0.12,-0.09,0.39,0.05,-0.10,-0.08,0.18,0.00
BFA,5.63,-0.22,-0.22,1.09,-1.27,-0.93,-0.59,0.06,0.67,0.10,0.67,-0.39,0.26,-0.34,0.25,-0.12,0.34,-0.37,0.09,0.10,-0.16,0.00
BGD,2.35,2.73,1.49,2.42,3.24,0.80,-1.10,0.71,-0.54,-0.35,0.13,-0.11,-0.16,-0.48,0.09,0.25,-0.07,-0.78,0.11,0.92,-0.27,0.00
BGR,-3.13,0.51,1.38,-1.22,0.13,0.50,-0.52,-0.64,-0.29,0.88,-0.30,0.79,0.02,0.03,0.31,-0.03,0.40,-0.03,-0.02,-0.04,0.11,0.00
BHR,-2.20,1.02,-1.76,1.75,0.70,2.48,0.19,-2.04,0.42,-0.01,-0.12,-0.56,1.13,0.08,0.19,0.24,-0.07,0.25,0.16,0.01,0.16,0.00
BIH,-2.52,0.44,2.91,-0.07,-0.55,-0.26,-0.68,0.49,0.08,0.46,0.43,1.35,0.60,-0.35,0.75,0.25,-0.04,-0.04,0.14,0.00,0.00,0.00
BLR,-2.58,0.40,0.61,0.71,-0.38,2.47,-1.67,1.21,0.47,-1.03,-0.21,-0.66,-0.07,0.65,-0.22,-0.67,-0.29,-0.36,-0.45,-0.14,-0.04,0.00
BLZ,0.17,-0.19,-1.40,-1.35,-0.45,-0.25,2.07,1.40,0.29,-0.76,0.64,1.19,0.42,0.07,-0.10,0.27,0.11,0.26,-0.24,-0.02,0.00,0.00
BOL,-0.74,-1.13,-0.38,0.51,-0.29,0.29,-0.10,-0.44,-0.10,0.20,0.80,0.51,-0.82,-0.10,0.12,0.25,0.19,0.10,0.12,-0.32,-0.17,0.00
BRA,-1.26,-2.55,0.56,-0.47,0.23,0.15,1.26,1.15,0.07,-0.11,0.12,-0.16,0.67,0.17,-0.26,0.40,0.16,-0.03,-0.34,0.26,0.13,0.00
BRB,-1.87,0.03,1.85,-0.72,-0.89,-0.93,1.09,0.32,0.56,0.33,0.87,0.04,-0.82,-0.46,-0.49,-0.15,-0.29,0.05,0.01,0.01,-0.03,0.00
BTN,0.52,0.00,-0.75,-1.22,1.07,-0.28,-0.80,0.58,-0.41,0.29,1.48,0.26,1.33,0.88,0.21,0.82,-0.31,-0.30,0.61,0.17,-0.13,0.00
BWA,0.67,-1.08,-1.13,-2.53,0.54,1.48,-0.55,2.18,0.18,1.18,-1.38,0.15,-0.05,-0.64,-0.13,0.11,-0.03,-0.16,-0.36,0.04,-0.05,0.00
