,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22
Population growth (annual %),1.00,0.91,-0.50,0.23,0.40,0.36,0.35,0.39,0.25,0.55,0.39,-0.60,0.09,-0.08,-0.08,0.01,-0.09,-0.20,-0.17,0.16,0.10,0.31
Urban population growth (annual %),0.91,1.00,-0.61,0.24,0.48,0.41,0.42,0.49,0.36,0.65,0.37,-0.68,0.13,-0.04,-0.12,0.04,-0.17,-0.27,-0.23,0.16,0.04,0.43
Access to electricity (% of population),-0.50,-0.61,1.00,-0.29,-0.63,-0.59,-0.56,-0.82,-0.71,-0.90,-0.19,0.88,0.06,0.15,0.15,0.18,0.29,0.40,0.38,-0.33,0.08,-0.73
Poverty headcount ratio at national poverty lines (% of population),0.23,0.24,-0.29,1.00,0.26,0.22,0.22,0.28,0.26,0.32,0.20,-0.34,0.04,-0.08,-0.06,-0.08,-0.16,-0.27,-0.25,0.21,-0.02,0.29
Adolescents out of school (% of lower secondary school age),0.40,0.48,-0.63,0.26,1.00,0.91,0.90,0.54,0.44,0.63,0.22,-0.64,-0.01,-0.25,-0.07,-0.10,-0.17,-0.43,-0.44,0.27,0.00,0.44
"Adolescents out of school, female (% of female lower secondary school age)",0.36,0.41,-0.59,0.22,0.91,1.00,0.97,0.48,0.39,0.58,0.14,-0.57,0.02,-0.27,-0.07,-0.15,-0.13,-0.40,-0.41,0.29,-0.01,0.40
"Adolescents out of school, male (% of male lower secondary school age)",0.35,0.42,-0.56,0.22,0.90,0.97,1.00,0.48,0.38,0.56,0.16,-0.56,0.05,-0.23,-0.05,-0.11,-0.12,-0.36,-0.38,0.27,0.00,0.38
"Mortality rate, adult, female (per 1,000 female adults)",0.39,0.49,-0.82,0.28,0.54,0.48,0.48,1.00,0.93,0.88,0.24,-0.88,-0.12,-0.08,-0.11,-0.19,-0.28,-0.32,-0.30,0.25,-0.06,0.62
"Mortality rate, adult, male (per 1,000 male adults)",0.25,0.36,-0.71,0.26,0.44,0.39,0.38,0.93,1.00,0.77,0.24,-0.77,-0.12,-0.06,-0.09,-0.18,-0.27,-0.26,-0.25,0.16,-0.05,0.53
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",0.55,0.65,-0.90,0.32,0.63,0.58,0.56,0.88,0.77,1.00,0.21,-0.98,-0.03,-0.16,-0.14,-0.12,-0.28,-0.36,-0.34,0.34,-0.10,0.68
"Cause of death, by injury (% of total)",0.39,0.37,-0.19,0.20,0.22,0.14,0.16,0.24,0.24,0.21,1.00,-0.39,-0.08,0.01,-0.09,-0.03,-0.13,0.00,-0.02,0.16,0.09,0.09
"Cause of death, by non-communicable diseases (% of total)",-0.60,-0.68,0.88,-0.34,-0.64,-0.57,-0.56,-0.88,-0.77,-0.98,-0.39,1.00,0.04,0.15,0.15,0.12,0.29,0.34,0.32,-0.35,0.08,-0.66
GDP growth (annual %),0.09,0.13,0.06,0.04,-0.01,0.02,0.05,-0.12,-0.12,-0.03,-0.08,0.04,1.00,0.00,0.13,0.25,0.10,-0.07,-0.06,0.05,-0.01,0.09
"Government expenditure on education, total (% of GDP)",-0.08,-0.04,0.15,-0.08,-0.25,-0.27,-0.23,-0.08,-0.06,-0.16,0.01,0.15,0.00,1.00,0.14,0.22,0.00,0.03,0.04,-0.06,-0.11,-0.09
Imports of goods and services (% of GDP),-0.08,-0.12,0.15,-0.06,-0.07,-0.07,-0.05,-0.11,-0.09,-0.14,-0.09,0.15,0.13,0.14,1.00,0.15,0.83,-0.05,-0.02,0.14,0.04,-0.22
Gross savings (% of GDP),0.01,0.04,0.18,-0.08,-0.10,-0.15,-0.11,-0.19,-0.18,-0.12,-0.03,0.12,0.25,0.22,0.15,1.00,0.11,0.03,0.02,-0.14,0.08,-0.10
Exports of goods and services (% of GDP),-0.09,-0.17,0.29,-0.16,-0.17,-0.13,-0.12,-0.28,-0.27,-0.28,-0.13,0.29,0.10,0.00,0.83,0.11,1.00,0.04,0.06,-0.04,0.08,-0.33
"Literacy rate, adult female (% of females ages 15 and above)",-0.20,-0.27,0.40,-0.27,-0.43,-0.40,-0.36,-0.32,-0.26,-0.36,0.00,0.34,-0.07,0.03,-0.05,0.03,0.04,1.00,0.97,-0.10,0.02,-0.35
"Literacy rate, adult male (% of males ages 15 and above)",-0.17,-0.23,0.38,-0.25,-0.44,-0.41,-0.38,-0.30,-0.25,-0.34,-0.02,0.32,-0.06,0.04,-0.02,0.02,0.06,0.97,1.00,-0.11,0.02,-0.34
CO2 emissions from liquid fuel consumption (% of total),0.16,0.16,-0.33,0.21,0.27,0.29,0.27,0.25,0.16,0.34,0.16,-0.35,0.05,-0.06,0.14,-0.14,-0.04,-0.10,-0.11,1.00,-0.26,0.29
CO2 emissions from gaseous fuel consumption (% of total),0.10,0.04,0.08,-0.02,0.00,-0.01,0.00,-0.06,-0.05,-0.10,0.09,0.08,-0.01,-0.11,0.04,0.08,0.08,0.02,0.02,-0.26,1.00,-0.15
Renewable energy consumption (% of total final energy consumption),0.31,0.43,-0.73,0.29,0.44,0.40,0.38,0.62,0.53,0.68,0.09,-0.66,0.09,-0.09,-0.22,-0.10,-0.33,-0.35,-0.34,0.29,-0.15,1.00
