Country Code,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22
AFG,0.30,0.05,0.18,0.00,0.01,0.00,0.06,0.00,0.05,0.01,0.14,0.16,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
AGO,0.51,0.10,0.06,0.01,0.00,0.00,0.02,0.01,0.10,0.03,0.10,0.01,0.01,0.02,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00
ALB,0.45,0.01,0.21,0.03,0.00,0.07,0.02,0.05,0.04,0.00,0.03,0.00,0.01,0.01,0.04,0.00,0.00,0.02,0.00,0.00,0.00,0.00
AND,0.10,0.00,0.32,0.02,0.14,0.00,0.01,0.00,0.18,0.13,0.03,0.01,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
ARE,0.14,0.11,0.10,0.10,0.00,0.14,0.05,0.00,0.06,0.06,0.01,0.09,0.05,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARG,0.26,0.30,0.00,0.13,0.00,0.00,0.01,0.00,0.02,0.04,0.15,0.03,0.02,0.01,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00
ARM,0.25,0.01,0.14,0.26,0.00,0.14,0.04,0.09,0.03,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ATG,0.14,0.01,0.00,0.00,0.51,0.07,0.01,0.00,0.00,0.01,0.10,0.02,0.03,0.00,0.06,0.02,0.01,0.00,0.00,0.00,0.00,0.00
AUS,0.43,0.01,0.07,0.10,0.15,0.02,0.00,0.03,0.03,0.09,0.00,0.00,0.00,0.00,0.01,0.03,0.01,0.00,0.00,0.00,0.00,0.00
AUT,0.72,0.00,0.00,0.02,0.05,0.00,0.00,0.01,0.12,0.00,0.00,0.03,0.04,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
AZE,0.36,0.07,0.01,0.23,0.02,0.04,0.07,0.05,0.03,0.03,0.01,0.05,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
BDI,0.55,0.21,0.03,0.04,0.00,0.02,0.00,0.01,0.05,0.00,0.01,0.04,0.02,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00
BEL,0.70,0.09,0.01,0.09,0.00,0.03,0.01,0.01,0.00,0.02,0.00,0.02,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BEN,0.70,0.00,0.01,0.08,0.04,0.02,0.01,0.00,0.04,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BFA,0.85,0.00,0.00,0.03,0.04,0.02,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BGD,0.15,0.21,0.06,0.16,0.29,0.02,0.03,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.00
BGR,0.60,0.02,0.12,0.09,0.00,0.02,0.02,0.03,0.01,0.05,0.01,0.04,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00
BHR,0.19,0.04,0.13,0.12,0.02,0.25,0.00,0.17,0.01,0.00,0.00,0.01,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BIH,0.33,0.01,0.44,0.00,0.02,0.00,0.02,0.01,0.00,0.01,0.01,0.09,0.02,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BLR,0.31,0.01,0.02,0.02,0.01,0.29,0.13,0.07,0.01,0.05,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,0.01,0.00,0.00,0.00
BLZ,0.00,0.00,0.15,0.14,0.02,0.00,0.32,0.15,0.01,0.04,0.03,0.11,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00
BOL,0.12,0.28,0.03,0.06,0.02,0.02,0.00,0.04,0.00,0.01,0.14,0.06,0.15,0.00,0.00,0.01,0.01,0.00,0.00,0.02,0.01,0.00
BRA,0.13,0.52,0.03,0.02,0.00,0.00,0.13,0.11,0.00,0.00,0.00,0.00,0.04,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.00
BRB,0.27,0.00,0.27,0.04,0.06,0.07,0.09,0.01,0.02,0.01,0.06,0.00,0.05,0.02,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00
BTN,0.03,0.00,0.05,0.14,0.10,0.01,0.06,0.03,0.02,0.01,0.20,0.01,0.16,0.07,0.00,0.06,0.01,0.01,0.03,0.00,0.00,0.00
BWA,0.02,0.06,0.06,0.31,0.01,0.11,0.01,0.23,0.00,0.07,0.09,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
CAF,0.47,0.10,0.02,0.09,0.03,0.01,0.06,0.10,0.02,0.07,0.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00
CAN,0.56,0.00,0.18,0.09,0.02,0.00,0.01,0.00,0.00,0.03,0.00,0.03,0.01,0.00,0.01,0.02,0.03,0.00,0.00,0.00,0.00,0.00
CHE,0.53,0.10,0.00,0.00,0.01,0.06,0.02,0.06,0.04,0.00,0.08,0.05,0.01,0.00,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00
CHL,0.59,0.22,0.00,0.00,0.00,0.05,0.01,0.01,0.08,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CHN,0.18,0.00,0.00,0.09,0.13,0.07,0.22,0.05,0.04,0.03,0.10,0.07,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00
CMR,0.80,0.03,0.00,0.00,0.03,0.02,0.03,0.01,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
COL,0.14,0.44,0.02,0.07,0.00,0.00,0.10,0.00,0.03,0.07,0.00,0.08,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
COM,0.46,0.22,0.00,0.00,0.02,0.00,0.03,0.09,0.03,0.06,0.02,0.02,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00
CPV,0.00,0.00,0.10,0.02,0.00,0.01,0.53,0.01,0.26,0.00,0.03,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00
CRI,0.21,0.05,0.00,0.02,0.10,0.05,0.29,0.03,0.00,0.01,0.16,0.02,0.02,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00
CUB,0.37,0.08,0.13,0.02,0.04,0.17,0.07,0.00,0.00,0.05,0.01,0.01,0.02,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
CYP,0.63,0.04,0.00,0.07,0.00,0.00,0.03,0.00,0.07,0.00,0.07,0.04,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
DEU,0.74,0.00,0.04,0.00,0.07,0.00,0.03,0.00,0.05,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
DJI,0.21,0.40,0.03,0.00,0.29,0.00,0.03,0.00,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
DMA,0.15,0.03,0.08,0.08,0.17,0.08,0.22,0.03,0.01,0.04,0.00,0.02,0.05,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00
DNK,0.68,0.01,0.02,0.02,0.03,0.00,0.05,0.00,0.10,0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DOM,0.08,0.16,0.01,0.03,0.00,0.27,0.03,0.01,0.01,0.04,0.00,0.19,0.08,0.01,0.01,0.02,0.01,0.02,0.00,0.01,0.01,0.00
DZA,0.13,0.01,0.07,0.37,0.24,0.01,0.02,0.01,0.01,0.01,0.02,0.03,0.06,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
ECU,0.11,0.26,0.01,0.01,0.02,0.16,0.17,0.12,0.01,0.00,0.03,0.00,0.02,0.00,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00
ERI,0.70,0.00,0.01,0.00,0.11,0.00,0.01,0.05,0.03,0.01,0.00,0.01,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
ESP,0.58,0.04,0.07,0.04,0.03,0.10,0.02,0.01,0.01,0.06,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
EST,0.43,0.09,0.05,0.03,0.00,0.02,0.05,0.01,0.00,0.13,0.02,0.10,0.04,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00
ETH,0.69,0.00,0.01,0.06,0.00,0.11,0.07,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
