,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
Comp1, 8.05 , 8.05 , 36.60 , 36.60 
Comp2, 2.12 , 10.17 , 9.65 , 46.25 
Comp3, 1.74 , 11.92 , 7.92 , 54.17 
Comp4, 1.52 , 13.44 , 6.91 , 61.08 
Comp5, 1.48 , 14.92 , 6.73 , 67.81 
Comp6, 1.22 , 16.14 , 5.54 , 73.35 
Comp7, 1.08 , 17.22 , 4.91 , 78.25 
Comp8, 0.97 , 18.18 , 4.39 , 82.64 
Comp9, 0.85 , 19.03 , 3.86 , 86.50 
Comp10, 0.65 , 19.68 , 2.97 , 89.47 
Comp11, 0.64 , 20.32 , 2.89 , 92.36 
Comp12, 0.61 , 20.93 , 2.76 , 95.12 
Comp13, 0.40 , 21.33 , 1.83 , 96.95 
Comp14, 0.19 , 21.51 , 0.85 , 97.79 
Comp15, 0.13 , 21.65 , 0.60 , 98.39 
Comp16, 0.11 , 21.75 , 0.49 , 98.88 
Comp17, 0.09 , 21.85 , 0.43 , 99.31 
Comp18, 0.07 , 21.91 , 0.30 , 99.61 
Comp19, 0.04 , 21.95 , 0.17 , 99.78 
Comp20, 0.03 , 21.98 , 0.13 , 99.92 
Comp21, 0.02 , 22.00 , 0.08 , 100.00 
Comp22, 0.00 , 22.00 , 0.00 , 100.00 
